Rang	Entreprise	Activité	Ville	Chiffre d'affaires
226	SCHNEIDER ELECTRIC FRANCE	Fabrication de matériel de distribution et de commande électrique (27.12Z)	RUEIL-MALMAISON 92500	2 716 742 415 €
227	DERICHEBOURG	Récupération de déchets triés (38.32Z)	PARIS 12 75012	2 705 000 000 €
228	RANDSTAD	Activités des agences de travail temporaire (78.20Z)	SAINT-DENIS 93200	2 689 117 206 €
229	HEWLETT-PACKARD FRANCE	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	PUTEAUX 92800	2 679 917 299 €
230	ROBERT BOSCH FRANCE	Fabrication d'autres équipements automobiles (29.32Z)	SAINT-OUEN-SUR-SEINE 93400	2 668 332 017 €
231	SYNERGIE	Activités des agences de travail temporaire (78.20Z)	PARIS 16 75016	2 642 339 000 €
232	CAPGEMINI TECHNOLOGY SERVICES	Conseil en systèmes et logiciels informatiques (62.02A)	ISSY-LES-MOULINEAUX 92130	2 627 968 000 €
233	ALTEN	Conseil en systèmes et logiciels informatiques (62.02A)	BOULOGNE-BILLANCOURT 92100	2 623 990 000 €
234	SHV GAS SUPPLY & RISK MANAGEMENT	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	COURBEVOIE 92400	2 610 775 600 €
235	CASTORAMA FRANCE	Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus) (47.52B)	TEMPLEMARS 59175	2 603 295 673 €
236	IPSEN	Activités des sièges sociaux (70.10Z)	BOULOGNE-BILLANCOURT 92100	2 591 600 000 €
237	VERALLIA	Activités des sociétés holding (64.20Z)	COURBEVOIE 92400	2 585 900 000 €
238	MBDA FRANCE	Fabrication d'armes et de munitions (25.40Z)	LE PLESSIS-ROBINSON 92350	2 576 295 230 €
239	OREFI ORIENTALE ET FINANCIERE	Conseil pour les affaires et autres conseils de gestion (70.22Z)	SAINT-DENIS 93200	2 574 727 469 €
240	LBVYR LABORATOIRES DE BIOLOGIE VEGETALE YVES ROCHER	Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé (47.75Z)	LA GACILLY 56200	2 574 481 000 €
241	ETABLISSEMENTS THEVENIN & DUCROT	Activités des sociétés holding (64.20Z)	PONTARLIER 25300	2 565 462 516 €
242	BP FRANCE	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	CERGY 95800	2 534 000 000 €
243	COOPERL ARC ATLANTIQUE	Transformation et conservation de la viande de boucherie (10.11Z)	LAMBALLE-ARMOR 22400	2 511 901 263 €
244	ITM ALIMENTAIRE SUD OUEST	Centrales d'achat alimentaires (46.17A)	PARIS 15 75015	2 511 302 144 €
245	PEUGEOT CITROEN RENNES SNC	Construction de véhicules automobiles (29.10Z)	CHARTRES-DE-BRETAGNE 35131	2 509 360 392 €
246	AVIA T.D-DISTRIBUTION THEVENIN-DUCROT-DISTRIBUTION	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	CHEVIGNY-SAINT-SAUVEUR 21800	2 506 150 390 €
247	ITM ALIMENTAIRE SUD EST	Centrales d'achat alimentaires (46.17A)	PARIS 15 75015	2 504 573 375 €
248	NGE	Travaux de terrassement spécialisés ou de grande masse (43.12B)	SAINT-ETIENNE-DU-GRES 13103	2 497 881 000 €
249	GROUPE CRIT	Fonds de placement et entités financières similaires (64.30Z)	PARIS 17 75017	2 488 481 000 €
250	PIERRE FABRE SA	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	2 432 100 000 €
251	COVEFI SNC APERAM STAINLESS EUROPE	Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques (46.12B)	SAINT-DENIS 93210	2 425 658 366 €
252	ORANO DEMANTELEMENT	Enrichissement et retraitement de matières nucléaires (20.13A)	CHATILLON 92320	2 395 209 000 €
253	ENGIE E.S. ENGIE ENERGIE SERVICES	Production et distribution de vapeur et d'air conditionné (35.30Z)	COURBEVOIE 92400	2 393 669 000 €
254	SANOFI PASTEUR	Fabrication de préparations pharmaceutiques (21.20Z)	LYON 7EME 69007	2 376 000 000 €
255	STELIA AEROSPACE	Construction aéronautique et spatiale (30.30Z)	ROCHEFORT 17300	2 346 666 000 €
256	IDEMIA GROUP	Courtage de valeurs mobilières et de marchandises (66.12Z)	COURBEVOIE 92400	2 339 000 000 €
257	TFR TOYOTA FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	VAUCRESSON 92420	2 338 069 881 €
258	TF1 TELEVISION FRANCAISE 1	Édition de chaînes généralistes (60.20A)	BOULOGNE-BILLANCOURT 92100	2 337 300 000 €
259	ALCATEL-LUCENT INTERNATIONAL	Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication (46.52Z)	NOZAY 91620	2 332 775 000 €
260	TRIGANO	Activités des sièges sociaux (70.10Z)	PARIS 19 75019	2 328 155 000 €
261	BRICO DEPOT	Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus) (47.52B)	LONGPONT-SUR-ORGE 91310	2 323 998 686 €
262	SAIPOL	Fabrication d'huiles et graisses brutes (10.41A)	PARIS 8 75008	2 305 139 842 €
263	CARREFOUR STATIONS SERVICE	Commerce de détail de carburants en magasin spécialisé (47.30Z)	MONDEVILLE 14120	2 303 057 900 €
264	BOUYGUES IMMOBILIER	Promotion immobilière de logements (41.10A)	ISSY-LES-MOULINEAUX 92130	2 301 949 549 €
265	CDISCOUNT	Vente à distance sur catalogue général (47.91A)	BORDEAUX 33300	2 289 428 446 €
266	TOTAL OUTRE-MER	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	PUTEAUX 92800	2 287 404 161 €
267	LES LABORATOIRES SERVIER	Fabrication de préparations pharmaceutiques (21.20Z)	SURESNES 92150	2 283 819 401 €
268	COCA-COLA EUROPACIFIC PARTNERS FRANCE	Production de boissons rafraîchissantes (11.07B)	ISSY-LES-MOULINEAUX 92130	2 266 672 688 €
269	SAFRAN LANDING SYSTEMS	Construction aéronautique et spatiale (30.30Z)	VELIZY-VILLACOUBLAY 78140	2 264 206 000 €
270	NOVARTIS PHARMA SAS	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	RUEIL-MALMAISON 92500	2 212 759 512 €
271	ITM ALIMENTAIRE REGION PARISIENNE	Centrales d'achat alimentaires (46.17A)	PARIS 15 75015	2 207 926 000 €
272	SICLAE VIVESCIA INDUSTRIES	Activités des sièges sociaux (70.10Z)	REIMS 51100	2 207 403 000 €
273	DALKIA	Production et distribution de vapeur et d'air conditionné (35.30Z)	SAINT-ANDRE-LEZ-LILLE 59350	2 207 160 000 €
274	GROUPE DUBREUIL	Activités des sièges sociaux (70.10Z)	BELLEVIGNY 85170	2 203 186 000 €
275	VSP HOLDING	Fonds de placement et entités financières similaires (64.30Z)	BELLEVIGNY 85170	2 203 184 000 €
276	UNILEVER FRANCE	Commerce de gros (commerce interentreprises) non spécialisé (46.90Z)	RUEIL-MALMAISON 92500	2 201 159 745 €
277	SUEZ EAU FRANCE	Captage, traitement et distribution d'eau (36.00Z)	COURBEVOIE 92400	2 199 042 182 €
278	ATLANTIC SOC FRANCAISE DEVELOP THERMIQUE	Commerce de gros (commerce interentreprises) d'appareils électroménagers (46.43Z)	LA ROCHE-SUR-YON 85000	2 194 097 000 €
279	CHANEL	Commerce de gros (commerce interentreprises) d'habillement et de chaussures (46.42Z)	NEUILLY-SUR-SEINE 92200	2 191 496 000 €
280	RHODIA OPERATIONS	Fabrication d'autres produits chimiques organiques de base (20.14Z)	AUBERVILLIERS 93300	2 189 146 357 €
281	AUCHAN ENERGIES	Centrales d'achat de carburant (46.12A)	VILLENEUVE D'ASCQ 59650	2 186 765 470 €
282	NISSAN WEST EUROPE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	MONTIGNY-LE-BRETONNEUX 78180	2 182 193 000 €
283	CONFORAMA FRANCE	Commerce de détail de meubles (47.59A)	LOGNES 77185	2 168 732 000 €
284	CERP RHIN RHONE MEDI CONFRATERNELLE D'EXPLOITATION ET DE REPARTITION PHARMACEUTIQUE RHIN RHONE MEDITERRANEE	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	BELFORT 90000	2 165 543 008 €
285	MICROSOFT FRANCE	Conseil en systèmes et logiciels informatiques (62.02A)	ISSY-LES-MOULINEAUX 92130	2 164 787 899 €
286	FRAMATOME	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	COURBEVOIE 92400	2 159 235 000 €
287	VEOLIA EAU - COMPAGNIE GENERALE DES EAUX	Captage, traitement et distribution d'eau (36.00Z)	PARIS 8 75008	2 142 054 501 €
288	CERTAS ENERGY FRANCE	Commerce de détail de carburants en magasin spécialisé (47.30Z)	RUEIL-MALMAISON 92500	2 139 849 324 €
289	CIE IBM FRANCE	Gestion d'installations informatiques (62.03Z)	BOIS-COLOMBES 92270	2 135 900 000 €
290	FCA FRANCE	Commerce de voitures et de véhicules automobiles légers (45.11Z)	TRAPPES 78190	2 133 544 804 €
291	FMC AUTOMOBILES	Commerce de voitures et de véhicules automobiles légers (45.11Z)	NANTERRE 92000	2 132 349 374 €
292	GMF VIE	Assurance vie (65.11Z)	ERMONT 95120	2 131 510 000 €
293	AIRBUS DEFENCE AND SPACE SAS	Construction aéronautique et spatiale (30.30Z)	TOULOUSE 31400	2 120 393 000 €
294	THALES LAS FRANCE SAS	Fabrication d'équipements d'aide à la navigation (26.51A)	ELANCOURT 78990	2 115 860 000 €
295	THALES SIX GTS FRANCE SAS	Fabrication d'équipements de communication (26.30Z)	GENNEVILLIERS 92230	2 100 937 000 €
296	LIONS IMMO	Activités des marchands de biens immobiliers (68.10Z)	LILLE 59000	2 083 425 000 €
297	MNF NESTLE FRANCE	Transformation du thé et du café (10.83Z)	ISSY-LES-MOULINEAUX 92130	2 083 346 148 €
298	SOVAB SOCIETE VEHICULES AUTOMOBILES BATILLY	Construction de véhicules automobiles (29.10Z)	BATILLY 54980	2 078 490 250 €
299	ANTALIS	Activités des sièges sociaux (70.10Z)	BOULOGNE-BILLANCOURT 92100	2 074 100 000 €
300	PROMAN EXPANSION	Activités des sociétés holding (64.20Z)	MANOSQUE 04100	2 063 501 000 €
301	SEVELNORD SOCIETE EUROPEENNE DE VEHICULES LEGERS DU NORD - SEVEL NORD	Construction de véhicules automobiles (29.10Z)	LIEU-SAINT-AMAND 59111	2 063 068 828 €
302	SAGEMCOM GROUP	Activités des sociétés holding (64.20Z)	RUEIL-MALMAISON 92500	2 060 266 000 €
303	DISTRIDYN	Centrales d'achat de carburant (46.12A)	CHARENTON-LE-PONT 94220	2 040 268 387 €
304	TOTALENERGIES EP ANGOLA	Activités des sociétés holding (64.20Z)	COURBEVOIE 92400	2 023 128 880 €
305	ACTION FRANCE	Autres commerces de détail en magasin non spécialisé (47.19B)	PARIS 19 75019	2 020 857 815 €
306	CRITEO	Conseil en systèmes et logiciels informatiques (62.02A)	PARIS 9 75009	2 020 115 000 €
307	ARCELORMITTAL MEDITERRANEE	Sidérurgie (24.10Z)	SAINT-DENIS 93210	2 019 028 000 €
308	AUTOMOTIVE PARTS AND SERVICES GROUP	Activités des sièges sociaux (70.10Z)	AMIENS 80000	2 009 771 000 €
309	SIIF EDF RENOUVELABLES	Activités des sièges sociaux (70.10Z)	COURBEVOIE 92400	2 007 000 000 €
310	IPSOS	Activités des sièges sociaux (70.10Z)	PARIS 13 75013	2 003 255 000 €
311	ADOVA HOLDING	Services administratifs combinés de bureau (82.11Z)	PARIS 5 75005	2 000 774 000 €
312	M H C S	Fabrication de vins effervescents (11.02A)	EPERNAY 51200	1 999 529 791 €
313	PURPLE DEVELOPMENT	Conseil pour les affaires et autres conseils de gestion (70.22Z)	PARIS 9 75009	1 999 151 000 €
314	NOVAFIVES	Courtage de valeurs mobilières et de marchandises (66.12Z)	PARIS 9 75009	1 998 890 000 €
315	FIVES	Activités des sièges sociaux (70.10Z)	PARIS 9 75009	1 998 890 000 €
316	FIVES ORSAY	Fonds de placement et entités financières similaires (64.30Z)	PARIS 9 75009	1 998 890 000 €
317	ITM ALIMENTAIRE OUEST	Centrales d'achat alimentaires (46.17A)	PARIS 15 75015	1 992 963 323 €
318	CA CONSUMER FINANCE	Autres intermédiations monétaires (64.19Z)	MASSY 91300	1 992 590 000 €
319	HOLDING D'INFRASTRUCTURES DE TRANSPORT	Activités des sociétés holding (64.20Z)	ISSY-LES-MOULINEAUX 92130	1 990 700 000 €
320	SANEF	Services auxiliaires des transports terrestres (52.21Z)	ISSY-LES-MOULINEAUX 92130	1 990 700 000 €
321	LOXAM	Location et location-bail de machines et équipements pour la construction (77.32Z)	CAUDAN 56850	1 988 921 000 €
322	URW SE UNIBAIL-RODAMCO-WESTFIELD SE	Promotion immobilière d'autres bâtiments (41.10C)	PARIS 16 75116	1 985 200 000 €
323	SPIE BATIGNOLLES	Activités des sièges sociaux (70.10Z)	NEUILLY-SUR-SEINE 92200	1 982 087 000 €
324	FDJ LA FRANCAISE DES JEUX	Organisation de jeux de hasard et d'argent (92.00Z)	BOULOGNE-BILLANCOURT 92100	1 955 600 000 €
325	SOCIETE BIC	Commerce de gros (commerce interentreprises) d'autres biens domestiques (46.49Z)	CLICHY 92110	1 949 764 000 €
326	AVIA PICOTY	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	LA SOUTERRAINE 23300	1 949 099 000 €
327	EXXONMOBIL CHEMICAL FRANCE	Fabrication de matières plastiques de base (20.16Z)	NANTERRE 92000	1 936 351 342 €
328	HOLDING REINIER	Activités des sociétés holding (64.20Z)	MARSEILLE 9 13009	1 935 920 000 €
329	SOCIETE JAS HENNESSY & C°	Production de boissons alcooliques distillées (11.01Z)	COGNAC 16100	1 929 451 892 €
330	FEDEX EXPRESS FR	Messagerie, fret express (52.29A)	LYON 7EME 69007	1 914 506 413 €
331	SARTORIUS STEDIM BIOTECH	Administration d'immeubles et autres biens immobiliers (68.32A)	AUBAGNE 13400	1 910 081 000 €
332	LIMAGRAIN	Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses (01.11Z)	SAINT-BEAUZIRE 63360	1 909 300 000 €
333	DYNEFF S.A.S.	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	MONTPELLIER 34000	1 906 737 195 €
334	DLP DISTRIBUTION LEADER PRICE SNC	Centrales d'achat alimentaires (46.17A)	GRETZ-ARMAINVILLIERS 77220	1 900 969 202 €
335	GEFCO FRANCE	Affrètement et organisation des transports (52.29B)	COLOMBES 92700	1 896 577 460 €
336	SOUFFLET NEGOCE	Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (46.21Z)	NOGENT-SUR-SEINE 10400	1 894 098 699 €
337	GRTGAZ	Transports par conduites (49.50Z)	BOIS-COLOMBES 92270	1 885 898 000 €
338	BOLLORE ENERGY	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	ERGUE-GABERIC 29500	1 883 078 000 €
339	CHRISTIAN DIOR COUTURE	Commerce de détail d'habillement en magasin spécialisé (47.71Z)	PARIS 8 75008	1 869 773 000 €
340	CHANTIERS DE L'ATLANTIQUE	Construction de navires et de structures flottantes (30.11Z)	SAINT-NAZAIRE 44600	1 867 417 152 €
341	CCR CAISSE CENTRALE DE REASSURANCE	Réassurance (65.20Z)	PARIS 8 75008	1 865 514 000 €
342	STEDIS	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	SAINT MARTIN D'HERES 38400	1 858 187 389 €
343	CONNEXIONS INVESTISSEMENT	Activités des sociétés holding (64.20Z)	NEUILLY-SUR-SEINE 92200	1 857 446 000 €
344	GAS NATURAL EUROPE	Commerce de combustibles gazeux par conduites (35.23Z)	COURBEVOIE 92400	1 857 026 979 €
345	PARFUMS CHRISTIAN DIOR	Fabrication de parfums et de produits pour la toilette (20.42Z)	PARIS 8 75008	1 850 307 946 €
346	UBISOFT ENTERTAINMENT	Édition de jeux électroniques (58.21Z)	CARENTOIR 56910	1 845 522 000 €
347	UDP URBAINE DES PETROLES	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	RUEIL-MALMAISON 92500	1 828 453 228 €
348	IVECO FRANCE	Commerce d'autres véhicules automobiles (45.19Z)	VENISSIEUX 69200	1 816 626 820 €
349	TRANSITYRE FRANCE SA	Commerce de gros d'équipements automobiles (45.31Z)	CLERMONT-FERRAND 63000	1 812 154 342 €
350	UNION INVIVO	Commerce de gros (commerce interentreprises) de produits chimiques (46.75Z)	PARIS 16 75116	1 809 025 000 €
351	SANOFI-AVENTIS FRANCE	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	GENTILLY 94250	1 795 000 000 €
352	SAFRAN NACELLES	Construction aéronautique et spatiale (30.30Z)	GONFREVILLE L'ORCHER 76700	1 790 863 000 €
353	ETABLISSEMENTS DARTY ET FILS	Commerce de détail d'appareils électroménagers en magasin spécialisé (47.54Z)	BONDY 93140	1 781 891 998 €
354	VENTE PRIVEE.COM	Vente à distance sur catalogue général (47.91A)	SAINT-DENIS 93200	1 781 348 943 €
355	THALES AVS FRANCE SAS	Fabrication d'équipements d'aide à la navigation (26.51A)	MERIGNAC 33700	1 771 000 000 €
356	BUT INTERNATIONAL	Commerce de détail de meubles (47.59A)	EMERAINVILLE 77184	1 770 894 018 €
357	EURO DISNEY ASSOCIES SAS	Activités des parcs d'attractions et parcs à thèmes (93.21Z)	CHESSY 77700	1 768 000 000 €
358	DELL	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	MONTPELLIER 34000	1 767 213 113 €
359	PO ROTHSCHILD & CO	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	1 766 166 000 €
360	J.P.J.S. SCA	Activités des sociétés holding (64.20Z)	ROUBAIX 59100	1 761 923 000 €
361	THALES DMS FRANCE SAS	Fabrication d'équipements d'aide à la navigation (26.51A)	ELANCOURT 78990	1 759 628 000 €
362	SANOFI-AVENTIS PARTICIPATIONS	Activités des sociétés holding (64.20Z)	PARIS 8 75008	1 743 129 000 €
363	IMMOBILIERE 3F	Location de logements (68.20A)	PARIS 13 75013	1 742 664 000 €
364	CID COMPAGNIE INDUSTRIELLE DE DELLE	Activités des sociétés holding (64.20Z)	GRANDVILLARS 90600	1 729 532 000 €
365	LISI	Activités des sièges sociaux (70.10Z)	GRANDVILLARS 90600	1 729 527 000 €
366	CARREFOUR SUPPLY CHAIN	Entreposage et stockage non frigorifique (52.10B)	MONDEVILLE 14120	1 715 685 930 €
367	ASCOM INVEST	Activités des sociétés holding (64.20Z)	MEYLAN 38240	1 710 241 000 €
368	MONDELEZ FRANCE SAS	Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie (46.36Z)	CLAMART 92140	1 692 870 561 €
369	SEPHORA	Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé (47.75Z)	NEUILLY-SUR-SEINE 92200	1 690 519 820 €
370	CARGILL FRANCE	Fabrication d'huiles et graisses brutes (10.41A)	PUTEAUX 92800	1 688 223 699 €
371	TECHNIP FRANCE	Ingénierie, études techniques (71.12B)	NANTERRE 92000	1 687 000 000 €
372	LF SAS MONDELEZ FRANCE BISCUITS PRODUCTION SAS	Fabrication de biscuits, biscottes et pâtisseries de conservation (10.72Z)	CLAMART 92140	1 685 103 012 €
373	GROUPE CANAL+ SA	Télécommunications par satellite (61.30Z)	ISSY-LES-MOULINEAUX 92130	1 665 000 000 €
374	PHOENIX PHARMA	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	CRETEIL 94000	1 663 643 025 €
375	ZF BIDCO	Gestion de fonds (66.30Z)	CHAPONNAY 69970	1 657 501 000 €
376	ZF INVEST	Activités des sièges sociaux (70.10Z)	CHAPONNAY 69970	1 657 370 000 €
377	DBH4 DEMATHIEU BARD HOLDING 4	Activités des sociétés holding (64.20Z)	MONTIGNY-LES-METZ 57950	1 652 230 882 €
378	TF1 PUBLICITE	Régie publicitaire de médias (73.12Z)	BOULOGNE-BILLANCOURT 92100	1 643 935 625 €
379	CHANEL COORDINATION	Commerce de gros (commerce interentreprises) d'habillement et de chaussures (46.42Z)	PARIS 1 75001	1 636 446 082 €
380	BOLLORE LOGISTICS	Affrètement et organisation des transports (52.29B)	PUTEAUX 92800	1 629 714 271 €
381	SCA OUEST SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'OUEST	Centrales d'achat alimentaires (46.17A)	SAINT-ETIENNE-DE-MONTLUC 44360	1 629 384 032 €
382	ADEO SERVICES	Intermédiaires du commerce en meubles, articles de ménage et quincaillerie (46.15Z)	RONCHIN 59790	1 625 023 000 €
383	NEXANS FRANCE	Fabrication d'autres fils et câbles électroniques ou électriques (27.32Z)	COURBEVOIE 92400	1 621 392 772 €
384	JACQUET METALS	Activités des sièges sociaux (70.10Z)	SAINT-PRIEST 69800	1 614 637 000 €
385	D.S.C. DISTRIBUTION SANITAIRE CHAUFFAGE	Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage (46.74B)	VERNEUIL-EN-HALATTE 60550	1 613 645 380 €
386	PEUGEOT CITROEN POISSY SNC	Construction de véhicules automobiles (29.10Z)	POISSY 78300	1 613 069 284 €
387	ACCENTURE	Conseil en systèmes et logiciels informatiques (62.02A)	PARIS 13 75013	1 605 234 829 €
388	SAEME SA EAUX MINERALES EVIAN	Industrie des eaux de table (11.07A)	EVIAN-LES-BAINS 74500	1 595 973 824 €
389	ITM ALIMENTAIRE CENTRE OUEST	Centrales d'achat alimentaires (46.17A)	PARIS 15 75015	1 595 489 000 €
390	SOCIETE D'INVESTISSEMENT TOURISTIQUE ET IMMOBILIER - S.I.T.I.	Activités des sociétés holding (64.20Z)	PARIS 19 75019	1 595 011 000 €
391	PIERRE ET VACANCES	Location de terrains et d'autres biens immobiliers (68.20B)	PARIS 19 75019	1 594 967 000 €
392	MSD FRANCE	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	PUTEAUX 92800	1 585 419 587 €
393	GE MEDICAL SYSTEMS	Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques (26.60Z)	BUC 78530	1 584 289 273 €
394	VWT VEOLIA WATER TECHNOLOGIES	Activités des sociétés holding (64.20Z)	SAINT-MAURICE 94410	1 579 168 000 €
395	SCRAS IPSEN PHARMA	Commerce de gros (commerce interentreprises) de produits pharmaceutiques (46.46Z)	BOULOGNE-BILLANCOURT 92100	1 567 000 000 €
396	SANOFI-AVENTIS RECHERCHE ET DEVELOPPEMENT	Recherche-développement en autres sciences physiques et naturelles (72.19Z)	CHILLY-MAZARIN 91380	1 564 000 000 €
397	ITM ALIMENTAIRE NORD	Centrales d'achat alimentaires (46.17A)	PARIS 15 75015	1 557 463 588 €
398	CNR COMPAGNIE NATIONALE DU RHONE	Production d'électricité (35.11Z)	LYON 4EME 69004	1 547 940 000 €
399	SOCIETE D'EDITION DE CANAL PLUS	Édition de chaînes généralistes (60.20A)	ISSY-LES-MOULINEAUX 92130	1 542 000 000 €
400	ID LOGISTICS GROUP	Conseil pour les affaires et autres conseils de gestion (70.22Z)	ORGON 13660	1 534 239 000 €
401	THALES ALENIA SPACE FRANCE	Construction aéronautique et spatiale (30.30Z)	TOULOUSE 31100	1 530 776 000 €
402	MANITOU BF	Fabrication de matériel de levage et de manutention (28.22Z)	ANCENIS-SAINT-GEREON 44150	1 526 988 000 €
403	SOC DES ATELIERS LOUIS VUITTON	Fabrication d'articles de voyage, de maroquinerie et de sellerie (15.12Z)	PARIS 1 75001	1 525 000 000 €
404	BOUYGUES BATIMENT ILE DE FRANCE	Construction d'autres bâtiments (41.20B)	GUYANCOURT 78280	1 521 887 597 €
405	INGRAM MICRO	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	LESQUIN 59810	1 517 728 719 €
406	DUMONT INVESTISSEMENT	Activités des sièges sociaux (70.10Z)	GRENOBLE 38100	1 512 319 000 €
407	TOTALENERGIES LUBRIFIANTS	Raffinage du pétrole (19.20Z)	NANTERRE 92000	1 507 632 933 €
408	PROCTER & GAMBLE FRANCE	Intermédiaires spécialisés dans le commerce d'autres produits spécifiques (46.18Z)	ASNIERES-SUR-SEINE 92600	1 502 125 918 €
409	PICARD SURGELES	Commerce de détail de produits surgelés (47.11A)	FONTAINEBLEAU 77300	1 502 116 133 €
410	SAGEMCOM BROADBAND SAS	Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication (46.52Z)	RUEIL-MALMAISON 92500	1 501 940 000 €
411	SAMSE	Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (46.73A)	GRENOBLE 38100	1 499 117 000 €
412	AUCHAN CARBURANT	Commerce de détail de carburants en magasin spécialisé (47.30Z)	CROIX 59170	1 498 028 912 €
413	BERNARD PARTICIPATIONS	Activités des sièges sociaux (70.10Z)	BOURG-EN-BRESSE 01000	1 497 803 000 €
414	SAUR	Captage, traitement et distribution d'eau (36.00Z)	ISSY-LES-MOULINEAUX 92130	1 497 655 000 €
415	HOLDING D'INFRASTRUCTURES DES METIERS DE L'ENVIRONNEMENT	Activités des sociétés holding (64.20Z)	ISSY-LES-MOULINEAUX 92130	1 497 412 000 €
416	JOHN DEERE SAS	Fabrication de moteurs et turbines, à l'exception des moteurs d'avions et de véhicules (28.11Z)	FLEURY-LES-AUBRAIS 45400	1 495 694 000 €
417	SCC FRANCE	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	NANTERRE 92000	1 493 412 649 €
418	SNEF	Travaux d'installation électrique dans tous locaux (43.21A)	MARSEILLE 15 13015	1 486 199 000 €
419	NHINDUSTRIES	Intermédiaires du commerce en machines, équipements industriels, navires et avions (46.14Z)	AIX-EN-PROVENCE 13290	1 485 472 902 €
420	SYSCO FRANCE SAS	Commerce de gros (commerce interentreprises) de produits surgelés (46.39A)	PARIS 12 75012	1 484 736 334 €
421	COFACE SA	Activités des sociétés holding (64.20Z)	BOIS-COLOMBES 92270	1 481 088 000 €
422	COFIROUTE	Services auxiliaires des transports terrestres (52.21Z)	NANTERRE 92000	1 479 000 000 €
423	CNH INDUSTRIAL FRANCE	Commerce de gros (commerce interentreprises) de matériel agricole (46.61Z)	MORIGNY-CHAMPIGNY 91150	1 475 878 503 €
424	MOET HENNESSY	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	1 473 313 000 €
425	KAUFMAN & BROAD SA	Activités des sociétés holding (64.20Z)	NEUILLY-SUR-SEINE 92200	1 472 154 000 €
426	FAMILLE C	Activités des sièges sociaux (70.10Z)	PARIS 17 75017	1 470 532 000 €
427	CLARINS	Autres activités de soutien aux entreprises n.c.a. (82.99Z)	NEUILLY-SUR-SEINE 92200	1 470 529 000 €
428	EURIAL LAIT	Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles (46.33Z)	NANTES 44300	1 460 884 240 €
429	M6 METROPOLE TELEVISION	Édition de chaînes généralistes (60.20A)	NEUILLY-SUR-SEINE 92200	1 456 100 000 €
430	SOCAMAINE	Centrales d'achat alimentaires (46.17A)	CHAMPAGNE 72470	1 448 018 154 €
431	SCAPEST SOCIETE COOPERATIVE D'APPROVISIONNEMENT PARIS-EST	Centrales d'achat alimentaires (46.17A)	SAINT-MARTIN-SUR-LE-PRE 51520	1 447 996 917 €
432	LECASUD LECLERC APPROVIONNEMENT SUD	Centrales d'achat alimentaires (46.17A)	LE LUC 83340	1 446 084 834 €
433	TEMSYS	Location de longue durée de voitures et de véhicules automobiles légers (77.11B)	CLICHY 92110	1 441 899 458 €
