Rang	Entreprise	Activité	Ville	Chiffre d'affaires
56	ITM AI ITM ALIMENTAIRE INTERNATIONAL	Centrales d'achat alimentaires (46.17A)	PARIS 15 75015	14 927 837 368 €
57	VINCI CONSTRUCTION	Activités des sociétés holding (64.20Z)	RUEIL-MALMAISON 92500	14 900 410 000 €
58	ESSO SOCIETE ANONYME FRANCAISE	Raffinage du pétrole (19.20Z)	NANTERRE 92000	14 793 700 000 €
59	AUTOMOBILES PEUGEOT	Commerce de voitures et de véhicules automobiles légers (45.11Z)	POISSY 78300	14 523 715 000 €
60	AIRBUS OPERATIONS	Construction aéronautique et spatiale (30.30Z)	TOULOUSE 31300	14 495 000 000 €
61	ENEDIS	Distribution d'électricité (35.13Z)	COURBEVOIE 92400	14 493 000 000 €
62	ICADE EMGP ICADE	Activités des marchands de biens immobiliers (68.10Z)	ISSY-LES-MOULINEAUX 92130	14 402 000 000 €
63	CARREFOUR HYPERMARCHES	Hypermarchés (47.11F)	EVRY-COURCOURONNES 91000	14 322 807 338 €
64	REXEL	Activités des sociétés holding (64.20Z)	PARIS 17 75017	13 742 300 000 €
65	AEROPORT DE STRASBOURG-ENTZHEIM	Services auxiliaires des transports aériens (52.23Z)	ENTZHEIM 67960	13 613 061 000 €
66	BOUYGUES CONSTRUCTION	Construction d'ouvrages d'art (42.13A)	GUYANCOURT 78280	13 355 000 000 €
67	CAPGEMINI	Activités des sièges sociaux (70.10Z)	PARIS 17 75017	13 197 000 000 €
68	KERING	Activités des sièges sociaux (70.10Z)	PARIS 7 75007	13 100 200 000 €
69	SIPLEC SOC D'IMPORTATION LECLERC	Commerce de gros (commerce interentreprises) de combustibles et de produits annexes (46.71Z)	IVRY-SUR-SEINE 94200	13 066 377 617 €
70	SNCF VOYAGEURS	Transport ferroviaire interurbain de voyageurs (49.10Z)	SAINT-DENIS 93200	12 566 000 000 €
71	NATIXIS ASSURANCES	Activités des sociétés holding (64.20Z)	PARIS 13 75013	12 511 743 000 €
72	AUCHAN HYPERMARCHE	Hypermarchés (47.11F)	VILLENEUVE D'ASCQ 59650	12 351 000 000 €
73	DECATHLON	Location de terrains et d'autres biens immobiliers (68.20B)	VILLENEUVE D'ASCQ 59650	12 344 113 000 €
74	COLAS SA	Construction de routes et autoroutes (42.11Z)	PARIS 15 75015	12 297 000 000 €
75	SANOFI WINTHROP INDUSTRIE	Fabrication de préparations pharmaceutiques (21.20Z)	ANTONY 92160	11 837 000 000 €
76	ATOS SE	Activités des sièges sociaux (70.10Z)	BEZONS 95870	11 588 000 000 €
77	COOPERATIVE U ENSEIGNE	Centrales d'achat alimentaires (46.17A)	RUNGIS 94150	11 500 922 000 €
78	SAFRAN AIRCRAFT ENGINES	Construction aéronautique et spatiale (30.30Z)	PARIS 15 75015	11 432 202 000 €
79	SOGECAP	Assurance vie (65.11Z)	COURBEVOIE 92400	11 353 083 000 €
80	PUBLICIS GROUPE S.A.	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	10 788 000 000 €
81	SINERGY	Centrales d'achat de carburant (46.12A)	IVRY-SUR-SEINE 94200	10 750 916 551 €
82	BFCM BANQUE FEDERATIVE DU CREDIT MUTUEL	Autres intermédiations monétaires (64.19Z)	STRASBOURG 67000	10 262 000 000 €
83	ALD	Activités des sièges sociaux (70.10Z)	RUEIL-MALMAISON 92500	9 934 200 000 €
84	HP FRANCE SAS	Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (46.51Z)	MEUDON 92190	9 441 949 000 €
85	AUTOMOBILES CITROEN	Commerce de voitures et de véhicules automobiles légers (45.11Z)	POISSY 78300	9 380 493 000 €
86	SOCIETE FRANCAISE DU RADIOTELEPHONE - SFR	Télécommunications sans fil (61.20Z)	PARIS 15 75015	8 902 880 804 €
87	ALSTOM	Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright (77.40Z)	SAINT-OUEN-SUR-SEINE 93400	8 785 000 000 €
88	ARKEMA	Activités des sièges sociaux (70.10Z)	COLOMBES 92700	8 738 000 000 €
89	PERNOD RICARD	Activités des sièges sociaux (70.10Z)	PARIS 8 75008	8 722 000 000 €
90	WENDEL-PARTICIPATIONS SE	Activités des sociétés holding (64.20Z)	PARIS 9 75009	8 562 200 000 €
91	BURELLE	Gestion de fonds (66.30Z)	LYON 7EME 69007	8 498 898 000 €
92	COMPAGNIE PLASTIC OMNIUM SE	Activités des sièges sociaux (70.10Z)	LYON 7EME 69007	8 493 550 000 €
93	DCF DISTRIBUTION CASINO FRANCE	Hypermarchés (47.11F)	SAINT-ETIENNE 42000	8 197 000 000 €
